id,token,tag
0,Несобственно,B-TERM
1,-,I-TERM
2,прямая,I-TERM
3,речь,I-TERM
4,(,
5,НПР,B-TERM
6,),
7,–,
8,весьма,
9,распространенный,
10,стилистический,B-TERM
11,прием,I-TERM
12,в,
13,англоязычных,
14,текстах,
15,.,
16,Посвященные,
17,ему,
18,исследования,B-TERM
19,появились,
20,около,
21,ста,
22,лет,
23,назад,
24,.,
25,За,
26,минувшее,
27,столетие,
28,взгляды,
29,лингвистов,
30,на,
31,НПР,B-TERM
32,прошли,
33,через,
34,различные,
35,стадии,
36,:,
37,от,
38,формального,B-TERM
39,описания,I-TERM
40,грамматических,B-TERM
41,черт,I-TERM
42,до,
43,генеративистики,B-TERM
44,.,
45,В,
46,настоящее,
47,время,
48,наиболее,
49,распространен,
50,подход,
51,к,
52,изучению,
53,НПР,B-TERM
54,со,
55,стороны,
56,прагматики,B-TERM
57,.,
58,В,
59,статье,
60,рассматривается,
61,эволюция,
62,взглядов,
63,на,
64,НПР,B-TERM
65,среди,
66,западных,
67,лингвистов,
68,в,
69,период,
70,XX,
71,–,
72,XXI,
73,вв,
74,.,
